frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
91,0.091,0.98,1,0.071,0.11,0.053,-0.082,-0.06,0.0,0.0,0.0,0.0,0.202,0.21400000000000002,0.0,0.22200000000000003,0.22999999999999998,0.312,0.002,0.078,0.152,0.122,0.062,0.032,0.006
92,0.092,0.98,1,0.085,0.113,0.054,-0.081,-0.059,0.0,0.0,0.0,0.0,0.176,0.176,0.0,0.202,0.188,0.298,0.002,0.10600000000000001,0.12,0.1,0.064,0.02,0.006
93,0.093,0.98,1,0.079,0.112,0.049,-0.079,-0.056,0.0,0.0,0.012,0.0,0.146,0.11399999999999999,0.0,0.174,0.136,0.29,0.002,0.11000000000000001,0.068,0.068,0.08,0.0,0.006
94,0.094,0.98,1,0.075,0.111,0.05,-0.081,-0.053,0.0,0.0,0.026000000000000002,0.0,0.11200000000000002,0.076,0.0,0.156,0.098,0.256,0.0,0.10800000000000001,0.018,0.036,0.078,0.0,0.0
95,0.095,0.98,1,0.08,0.109,0.042,-0.079,-0.055,0.0,0.0,0.048,0.0,0.08399999999999999,0.048,0.0,0.144,0.066,0.248,0.0,0.11000000000000001,0.026000000000000002,0.014000000000000002,0.08,0.0,0.0
96,0.096,0.98,1,0.086,0.103,0.037,-0.083,-0.054,0.0,0.0,0.05,0.0,0.054000000000000006,0.03,0.002,0.13,0.052000000000000005,0.192,0.0,0.11599999999999999,0.026000000000000002,0.008,0.066,0.0,0.0
97,0.097,0.98,1,0.083,0.105,0.039,-0.081,-0.053,0.0,0.0,0.05600000000000001,0.0,0.032,0.004,0.01,0.128,0.034,0.146,0.0,0.11000000000000001,0.028000000000000004,0.0,0.06,0.0,0.0
98,0.098,0.98,1,0.08,0.112,0.042,-0.082,-0.053,0.0,0.0,0.052000000000000005,0.0,0.022,0.0,0.014000000000000002,0.11599999999999999,0.024,0.10800000000000001,0.0,0.08199999999999999,0.012,0.0,0.041999999999999996,0.0,0.0
99,0.099,0.98,1,0.087,0.117,0.043,-0.084,-0.052,0.0,0.0,0.06,0.0,0.026000000000000002,0.016,0.016,0.118,0.012,0.098,0.0,0.076,0.012,0.0,0.028000000000000004,0.0,0.0
100,0.1,0.98,1,0.096,0.124,0.042,-0.084,-0.053,0.0,0.0,0.062,0.0,0.032,0.041999999999999996,0.014000000000000002,0.11000000000000001,0.006,0.096,0.0,0.076,0.006,0.0,0.014000000000000002,0.0,0.0
101,0.101,0.98,1,0.082,0.134,0.046,-0.084,-0.051,0.0,0.0,0.06999999999999999,0.0,0.03,0.062,0.016,0.11000000000000001,0.012,0.094,0.0,0.076,0.0,0.0,0.01,0.0,0.0
