frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
71,0.071,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03563143,4.321723e-08,0.09446751,0.04426146,0.05623036,0.05981785,0.0751917,0.07156656,0.2229268,0.08666602,0.02626869,0.02848011,0.09615672,0.01752852,0.04824213,0.08045654,0.0
72,0.072,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03564673,4.265589e-08,0.0976478,0.04411613,0.05674256,0.06284659,0.07522071,0.07099629,0.2450273,0.09405729,0.02628361,0.02883993,0.09645323,0.01700081,0.04826756,0.08034629,0.0
73,0.073,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03566794,4.23283e-08,0.1009113,0.04396455,0.05758631,0.06463706,0.07523772,0.06999241,0.2670191,0.1014692,0.02632213,0.02912878,0.09678458,0.01649246,0.0480357,0.08024115,0.0
74,0.074,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03565774,4.216214e-08,0.1020977,0.04383653,0.05861786,0.06686111,0.07524966,0.06901022,0.2892078,0.1100069,0.02636736,0.02942783,0.09838347,0.01604617,0.04763266,0.08012927,0.0
75,0.075,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03562886,4.222132e-08,0.103369,0.04372119,0.0602348,0.06816145,0.07525847,0.06797063,0.3131071,0.1184005,0.02641101,0.02971973,0.1004738,0.01561207,0.04733962,0.08000091,0.0
76,0.076,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03562187,4.225336e-08,0.1053132,0.04361086,0.06153917,0.06922349,0.0752653,0.06693269,0.338609,0.1258168,0.02646447,0.03001259,0.1017675,0.0151954,0.04710764,0.07989647,0.0
77,0.077,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0356526,4.211516e-08,0.1067942,0.0435135,0.06273301,0.07061687,0.07528277,0.06589121,0.3650501,0.1327954,0.02650567,0.03010388,0.1033047,0.01481304,0.04708912,0.07981755,0.0
78,0.078,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0356895,4.185165e-08,0.1076345,0.04341341,0.0636182,0.07203791,0.07529824,0.06489081,0.3903275,0.1393907,0.02654065,0.03026121,0.1048969,0.01444374,0.04695599,0.07971318,0.0
79,0.079,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0357286,4.148135e-08,0.107597,0.04333344,0.06443109,0.07276619,0.07530967,0.06387555,0.4129255,0.1462305,0.02656288,0.03036692,0.1071598,0.01407846,0.04671707,0.0795948,0.0
80,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03573522,4.143125e-08,0.1078381,0.04325079,0.06552467,0.07345071,0.07531597,0.06289782,0.4355628,0.1528007,0.02658596,0.03039162,0.1084393,0.01371994,0.04638626,0.0794653,0.0
81,0.081,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03572351,4.104657e-08,0.1077891,0.04316909,0.06652851,0.07412742,0.07531948,0.06195516,0.4580374,0.1592712,0.02660734,0.03045928,0.1102733,0.01337353,0.04591724,0.07933917,0.0
82,0.082,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03572914,4.059749e-08,0.10789,0.04309785,0.06752299,0.07438247,0.07531805,0.06107222,0.4798523,0.1652549,0.02662709,0.03047672,0.1130623,0.01303376,0.04547033,0.07921935,0.0
83,0.083,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03574579,4.000306e-08,0.1077995,0.04300445,0.0686395,0.07468349,0.07531962,0.06023706,0.5020529,0.1714226,0.02663075,0.03052356,0.1150895,0.01269747,0.04507041,0.07911056,0.0
84,0.084,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03573855,3.958387e-08,0.1080188,0.04290762,0.0700085,0.0748106,0.07532143,0.05948131,0.5222048,0.1753386,0.0266397,0.03063581,0.1160515,0.01237541,0.04472304,0.07903737,0.0
85,0.085,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03572116,3.936698e-08,0.1091872,0.04283872,0.07119869,0.07536279,0.07531757,0.05901833,0.5423701,0.1751023,0.02664056,0.03062893,0.1177747,0.01206864,0.04454723,0.078972,0.0
86,0.086,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03572081,3.883619e-08,0.1097423,0.04276334,0.07244976,0.07574566,0.0753136,0.05844355,0.5622274,0.1740379,0.02663036,0.03061928,0.1195096,0.01177494,0.04427692,0.07894208,0.0
87,0.087,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03579027,3.81763e-08,0.1093605,0.04268915,0.07411097,0.07655847,0.07530957,0.0578423,0.5810426,0.1729265,0.02661778,0.03066072,0.1198732,0.01150244,0.04402082,0.07888817,0.0
88,0.088,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03585855,3.749034e-08,0.1089027,0.04260718,0.07570126,0.07734691,0.07530493,0.05723502,0.5992883,0.1732205,0.02661988,0.03068191,0.1216221,0.01125662,0.04373417,0.078806,0.0
89,0.089,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03589974,3.674352e-08,0.1091136,0.04252978,0.0770857,0.077607,0.07530336,0.05670972,0.616326,0.1731635,0.02662234,0.03082047,0.1244267,0.01108558,0.04346036,0.07874444,0.0
90,0.09,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03597979,3.627616e-08,0.1085291,0.04245863,0.0783825,0.07766391,0.07530446,0.05617252,0.6324928,0.1724119,0.02661482,0.03092258,0.125603,0.0108809,0.04310964,0.07865041,0.0
91,0.091,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03605596,3.583297e-08,0.1079554,0.04239322,0.07971722,0.07767469,0.07530265,0.05568308,0.6477848,0.1714152,0.02660753,0.0310135,0.1265136,0.01068767,0.04281155,0.07855307,0.0
92,0.092,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03609128,3.534045e-08,0.1073909,0.0423283,0.0808381,0.07759731,0.07530012,0.05521729,0.6619962,0.1725357,0.02660723,0.03098825,0.1284296,0.01052251,0.0426892,0.07845997,0.0
93,0.093,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03636987,3.495769e-08,0.1084185,0.04229558,0.08138055,0.07851744,0.07529044,0.05468324,0.674715,0.1762824,0.02656272,0.03080605,0.1302842,0.01034231,0.04238251,0.07836397,0.0
94,0.094,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0363854,3.412511e-08,0.1102375,0.04226288,0.08206395,0.07919732,0.07528142,0.05419851,0.6856165,0.179584,0.02652994,0.03061869,0.1312501,0.01023313,0.04224929,0.07830561,0.0
95,0.095,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0363843,3.336569e-08,0.1132461,0.04223163,0.0823062,0.07898835,0.07527212,0.0537478,0.6950817,0.1821397,0.02651443,0.03044617,0.131579,0.01007508,0.0420569,0.07825092,0.0
96,0.096,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03637601,3.298873e-08,0.1128517,0.04219855,0.08216374,0.07849769,0.07526213,0.05357002,0.6890129,0.1787242,0.02651976,0.0305155,0.1297514,0.009946235,0.0426369,0.07844547,0.0
